location_name,latitude,longitude,postcode,location_type,Operator
Abbey Wood,51.49077059,0.12032557,SE2 9RH,mainline_station,Southeastern
Aber,51.57496069,-3.229838935,CF83 1AQ,mainline_station,Arriva Trains Wales
Abercynon,51.644706,-3.327000754,CF45 4SE,mainline_station,Arriva Trains Wales
Aberdare,51.71505747,-3.443099147,CF44 0PU,mainline_station,Arriva Trains Wales
Aberdeen,57.14304825,-2.097480496,AB11 6LX,mainline_station,Scotrail
Aberdour,56.05458044,-3.300556443,KY3 0SN,mainline_station,Scotrail
Aberdovey,52.54397223,-4.057080835,LL35 0NR,mainline_station,Arriva Trains Wales
Abererch,52.89860046,-4.374195955,LL53 6PJ,mainline_station,Arriva Trains Wales
Abergavenny,51.81669124,-3.009664242,NP7 5HS,mainline_station,Arriva Trains Wales
Abergele & Pensarn,53.29459094,-3.582632062,LL22 7PR,mainline_station,Arriva Trains Wales
Aberystwyth,52.41405692,-4.081908698,SY23 1LH,mainline_station,Arriva Trains Wales
Accrington,53.7532,-2.37001,BB5 1LJ,mainline_station,Northern
Achanalt,57.60981331,-4.914216676,IV23 2QD,mainline_station,Scotrail
Achnasheen,57.57910082,-5.072367544,IV22 2EJ,mainline_station,Scotrail
Achnashellach,57.4820548,-5.33306294,IV54 8YH,mainline_station,Scotrail
Acklington,55.3071,-1.65184,NE65 4DE,mainline_station,Northern
Acle,52.63470623,1.543930278,NR13 3BZ,mainline_station,Greater Anglia
Acocks Green,52.44933057,-1.818984792,B27 6EB,mainline_station,West Midlands Trains
Acton Bridge (Cheshire),53.26598504,-2.60266626,CW8 2RE,mainline_station,West Midlands Trains
Acton Central,51.5087756,-0.26361654,W3 6BH,mainline_station,London Overground
Acton Main Line,51.51692832,-0.267630485,W3 9EH,mainline_station,Great Western
Adderley Park,52.48309476,-1.85593993,B9 4TG,mainline_station,West Midlands Trains
Addiewell,55.84340123,-3.606517263,EH55 8NQ,mainline_station,Scotrail
Addlestone,51.37304695,-0.484448913,KT15 2PB,mainline_station,South West Trains
Adisham,51.24120466,1.19910096,CT3 3JE,mainline_station,Southeastern
Adlington (Cheshire),53.31957,-2.13356,SK10 4NA,mainline_station,Northern
Adlington (Lancs),53.6129455,-2.603061143,PR6 9RS,mainline_station,Northern
Adwick,53.57302304,-1.181475098,DN6 7AJ,mainline_station,Northern
Aigburth,53.3645833,-2.927160737,L17 6AG,mainline_station,Merseyrail
Ainsdale,53.60183287,-3.042669326,PR8 3HJ,mainline_station,Merseyrail
Aintree,53.47400907,-2.956664741,L9 5BE,mainline_station,Merseyrail
Airbles,55.78282474,-3.994178739,ML1 2SX,mainline_station,Scotrail
Airdrie,55.86397274,-3.982897473,ML6 9EX,mainline_station,Scotrail
Albany Park,51.43580211,0.126411748,DA5 3HP,mainline_station,Southeastern
Albrighton,52.63795639,-2.268906298,WV7 3DS,mainline_station,West Midlands Trains
Alderley Edge,53.30379521,-2.236800428,SK9 7QA,mainline_station,Northern
Aldermaston,51.40201112,-1.138770296,RG7 4LB,mainline_station,Great Western
Aldershot,51.24641674,-0.759860484,GU11 1HN,mainline_station,South West Trains
Aldrington,50.83636472,-0.181209698,BN3 5AE,mainline_station,GTR
Alexandra Palace,51.59829,-0.12014,N22 7ST,mainline_station,GTR
Alexandra Parade,55.86366362,-4.211419355,G31 3JN,mainline_station,Scotrail
Alexandria,55.98507321,-4.577469118,G83 0UL,mainline_station,Scotrail
Alfreton,53.10045706,-1.369688632,DE55 7JQ,mainline_station,East Midlands Trains
Allens West,54.52411689,-1.36342611,TS16 0PF,mainline_station,Northern
Alloa,56.11778079,-3.79004938,FK10 1BA,mainline_station,Scotrail
Alness,57.69437787,-4.249725543,IV17 0SE,mainline_station,Scotrail
Alnmouth,55.39241161,-1.636879701,NE66 3QF,mainline_station,Northern
Alresford (Essex),51.85400474,0.996704746,CO7 8AA,mainline_station,Greater Anglia
Alsager,53.09275298,-2.298612158,ST7 2XW,mainline_station,East Midlands Trains
Althorne (Essex),51.64787695,0.752499154,CM3 6DG,mainline_station,Greater Anglia
Althorpe,53.58528974,-0.732586396,DN17 3HL,mainline_station,Northern
Altnabreac,58.38832585,-3.705268158,KW12 6UR,mainline_station,Scotrail
Alton,51.15196497,-0.966920228,GU34 2PZ,mainline_station,South West Trains
Altrincham,53.3874545,-2.347281454,WA14 1EN,mainline_station,Northern
Alvechurch,52.34608475,-1.967659996,B48 7SE,mainline_station,West Midlands Trains
Ambergate,53.06054078,-1.48069344,DE56 2EN,mainline_station,East Midlands Trains
Amberley,50.896668,-0.541989047,BN18 9LR,mainline_station,GTR
Amersham,51.67420691,-0.607590127,HP6 5AZ,mainline_station,London Underground
Ammanford,51.79597767,-3.996765792,SA18 2DD,mainline_station,Arriva Trains Wales
Ancaster,52.98793249,-0.535615122,NG32 3RA,mainline_station,East Midlands Trains
Anderston,55.85986476,-4.271929947,G3 8RR,mainline_station,Scotrail
Andover,51.21154584,-1.49223998,SP10 3HW,mainline_station,South West Trains
Anerley,51.41305442,-0.065914328,SE20 8PY,mainline_station,London Overground
Angel Road,51.61241213,-0.048784168,N18 3AY,mainline_station,Greater Anglia
Angmering,50.8165699,-0.4893894,BN16 3RE,mainline_station,GTR
Annan,54.98383786,-3.262584309,DG12 6AS,mainline_station,Scotrail
Anniesland,55.88949536,-4.321640769,G12 0AY,mainline_station,Scotrail
Ansdell & Fairhaven,53.74157235,-2.993056487,FY8 1AG,mainline_station,Northern
Apperley Bridge,53.84138,1.703065,BD10 0FD,mainline_station,Northern
Appleby,54.58035366,-2.486692409,CA16 6TT,mainline_station,Northern
Appledore (Kent),51.0332352,0.816355536,TN26 2DF,mainline_station,GTR
Appleford,51.63964272,-1.242139074,OX14 4PJ,mainline_station,Great Western
Appley Bridge,53.578696,-2.719239,WN6 9AE,mainline_station,Northern
Apsley,51.73252418,-0.462924369,HP3 9SX,mainline_station,West Midlands Trains
Arbroath,56.55956606,-2.5889364,DD11 1RQ,mainline_station,Scotrail
Ardgay,57.88101054,-4.362578076,IV24 3AQ,mainline_station,Scotrail
Ardlui,56.3019481,-4.721642823,G83 7DT,mainline_station,Scotrail
Ardrossan Harbour,55.63986185,-4.821105156,KA22 8BH,mainline_station,Scotrail
Ardrossan South Beach,55.6414058,-4.801205601,KA22 8AU,mainline_station,Scotrail
Ardrossan Town,55.63969607,-4.812669742,KA22 8AU,mainline_station,Scotrail
Ardwick,53.4713637,-2.21388356,M12 6LY,mainline_station,Northern
Argyle Street,55.85730754,-4.250671495,G2 8DL,mainline_station,Scotrail
Arisaig,56.9125214,-5.839071397,PH39 4NJ,mainline_station,Scotrail
Arlesey,52.02604,-0.26632,SG15 6XA,mainline_station,GTR
Armadale (West Lothian),55.88639,-3.685049,EH48 3LP,mainline_station,Scotrail
Armathwaite,54.8091136,-2.771682007,CA4 9PL,mainline_station,Northern
Arnside,54.20210888,-2.827766101,LA5 0HQ,mainline_station,Northern
Arram,53.88458217,-0.42685721,HU17 7NR,mainline_station,Northern
Arrochar & Tarbet,56.2039585,-4.722756857,G83 7DB,mainline_station,Scotrail
Arundel,50.84820145,-0.546171346,BN18 9PH,mainline_station,GTR
Ascot (Berks),51.40624634,-0.675830536,SL5 9EG,mainline_station,South West Trains
Ascott-under-Wychwood,51.86734048,-1.564058135,OX3 5LP,mainline_station,Great Western
Ash,51.24959566,-0.712804737,GU12 5LP,mainline_station,South West Trains
Ash Vale,51.27224595,-0.72164797,GU12 5LP,mainline_station,South West Trains
Ashburys,53.47139715,-2.194298663,M12 5BY,mainline_station,Northern
Ashchurch for Tewkesbury,51.99916912,-2.109057444,GL20 8TU,mainline_station,Great Western
Ashfield,55.88890808,-4.249206392,G22 6LR,mainline_station,Scotrail
Ashford (Surrey),51.43651024,-0.468062256,TW15 2QN,mainline_station,South West Trains
Ashford International,51.14370672,0.876213658,TN23 1EZ,mainline_station,Southeastern
Ashford International (Eurostar),51.1409,0.875,TN24 0PS,mainline_station,NULL
Ashley,53.35601141,-2.341015897,WA14 3QE,mainline_station,Northern
Ashtead,51.31788158,-0.308147338,KT21 2DR,mainline_station,GTR
Ashton-under-Lyne,53.49128474,-2.093404009,OL6 6JP,mainline_station,Northern
Ashurst (Kent),51.12865582,0.152661963,TN3 9TL,mainline_station,GTR
Ashurst New Forest,50.88984033,-1.526640531,SO40 7AA,mainline_station,South West Trains
Ashwell & Morden,52.03078,-0.10978,SG7 5RT,mainline_station,GTR
Askam,54.18904409,-3.204522253,LA16 7EN,mainline_station,Northern
Aslockton,52.95139426,-0.898543361,NG13 9AA,mainline_station,East Midlands Trains
Aspatria,54.75932254,-3.331737575,CA7 2AW,mainline_station,Northern
Aspley Guise,52.02124786,-0.632327027,MK17 8XF,mainline_station,West Midlands Trains
Aston,52.50513897,-1.871779432,B6 7PR,mainline_station,West Midlands Trains
Atherstone,52.5789821,-1.552812353,CV9 1BH,mainline_station,West Midlands Trains
Atherton,53.52901633,-2.478177715,M46 9RH,mainline_station,Northern
Attadale,57.39476556,-5.456481075,IV54 8YX,mainline_station,Scotrail
Attenborough,52.9063664,-1.231269105,NG9 6AL,mainline_station,East Midlands Trains
Attleborough,52.51426479,1.022679778,NR17 2AS,mainline_station,Greater Anglia
Auchinleck,55.47026554,-4.295346631,KA18 2BH,mainline_station,Scotrail
Audley End,52.00445153,0.2071621,CB11 4LB,mainline_station,Greater Anglia
Aughton Park,53.55448798,-2.895078195,L39 5BT,mainline_station,Merseyrail
Aviemore,57.18905401,-3.828333974,PH22 1PD,mainline_station,Scotrail
Avoncliff,51.33964614,-2.281339394,BA15 2HD,mainline_station,Great Western
Avonmouth,51.50012646,-2.698421372,BS11 9JB,mainline_station,Great Western
Axminster,50.7785826,-3.00522804,EX13 5PF,mainline_station,South West Trains
Aylesbury,51.81389614,-0.815094966,HP20 1RU,mainline_station,Chiltern
Aylesbury Vale Parkway,51.830795,-0.860787,HP18 0PS,mainline_station,Chiltern
Aylesford,51.30131524,0.466175982,ME20 7LL,mainline_station,Southeastern
Aylesham,51.227257,1.209464797,CT3 3AS,mainline_station,Southeastern
Ayr,55.45820439,-4.626820483,KA7 1TH,mainline_station,Scotrail
Bache,53.20933376,-2.892360673,CH2 1BS,mainline_station,Merseyrail
Baglan,51.61553822,-3.811162313,SA12 8ES,mainline_station,Arriva Trains Wales
Bagshot,51.36436905,-0.688659892,GU19 5AS,mainline_station,South West Trains
Baildon,53.84969683,-1.753714588,BD17 6HS,mainline_station,Northern
Baillieston,55.84470543,-4.114497793,G69 7RN,mainline_station,Scotrail
Balcombe,51.05551334,-0.136932431,RH17 6JQ,mainline_station,GTR
Baldock,51.99288,-0.18756,SG7 5BU,mainline_station,GTR
Balham,51.44322754,-0.152421221,SW12 9SG,mainline_station,GTR
Balloch,56.00291529,-4.583469732,G83 8SS,mainline_station,Scotrail
Balmossie,56.47455611,-2.838952177,DD5 4QH,mainline_station,Scotrail
Bamber Bridge,53.72678683,-2.660769189,PR5 6EA,mainline_station,Northern
Bamford,53.33901464,-1.689082177,S32 1EG,mainline_station,Northern
Banavie,56.84328828,-5.095416228,PH33 7JF,mainline_station,Scotrail
Banbury,52.06031282,-1.328130455,OX16 5AB,mainline_station,Chiltern
Bangor (Gwynedd),53.22229978,-4.135891358,LL57 1LZ,mainline_station,Arriva Trains Wales
Bank Hall,53.43780206,-2.987464984,L20 8BX,mainline_station,Merseyrail
Banstead,51.32934844,-0.213158063,SM7 1PZ,mainline_station,GTR
Barassie,55.5610457,-4.651129008,KA10 6SA,mainline_station,Scotrail
Bardon Mill,54.97449387,-2.346497864,NE47 7HY,mainline_station,Northern
Bare Lane,54.07533066,-2.835940378,LA4 6LL,mainline_station,Northern
Bargeddie,55.8517241,-4.071741852,G69 7TS,mainline_station,Scotrail
Bargoed,51.69230767,-3.229689376,CF81 9AL,mainline_station,Arriva Trains Wales
Barking,51.54004123,0.080793383,IG11 8TU,mainline_station,Cross Country
Barlaston,52.94288578,-2.168112728,ST12 9DQ,mainline_station,West Midlands Trains
Barming,51.2848921,0.478963755,ME16 9NS,mainline_station,Southeastern
Barmouth,52.7229113,-4.056608531,LL42 1LS,mainline_station,Arriva Trains Wales
